jadis;5;2;0;5;2
hors;2;2;3;3;0
davantage;0;3;7;2;2
auprès;1;1;3;3;3
trente;1;0;5;1;4
malgré;1;4;1;4;0
jusqu;2;1;1;0;2
derrière;2;0;3;1;1
tels;2;3;0;0;3
selon;2;0;2;3;0
elle_même;2;3;2;1;1
différents;2;2;0;6;1
cinquante;0;0;5;4;0
celui_ci;2;2;2;1;1
voici;0;1;5;2;1
sept;1;2;2;2;0
huit;2;2;3;2;2
autrefois;0;4;2;3;0
quelqu_un;1;3;2;5;0
pardon;3;0;2;0;1
outre;1;1;0;3;1
lesquels;1;3;0;4;1
jusqu_au;1;1;2;1;2
environ;0;1;4;3;1
ci;0;2;8;0;0
vive;1;0;0;3;4
tes;2;0;0;0;3
quinze;1;0;5;1;0
diable;1;0;3;0;1
au_dessus;1;2;2;0;2
vôtre;0;2;0;2;0
soi;0;0;2;3;2
envers;3;1;0;0;2
dessus;1;2;1;2;1
chacune;0;2;1;2;1
c_est_à_dire;0;3;0;3;1
vite;1;0;5;0;0
tandis_qu;0;1;2;3;2
pourtant;0;3;3;1;0
eux_mêmes;1;1;0;1;4
demain;0;1;3;1;1
certains;0;2;0;2;1
certain;1;2;1;1;1
tard;0;2;0;3;0
soixante;1;0;1;1;0
sienne;0;2;2;1;1
quelles;0;2;1;1;2
puisqu;2;1;2;1;0
ceci;0;1;1;1;1
toutefois;1;2;0;3;0
telles;0;1;1;2;1
quels;0;0;0;0;3
nôtres;1;1;0;1;0
mienne;0;0;0;1;2
duquel;0;1;0;3;0
dommage;3;0;1;0;0
adieu;1;0;1;0;3
vingt_quatre;0;1;0;2;0
soi_même;2;1;0;1;0
quiconque;1;1;1;0;1
quarante;1;0;0;3;0
las;1;0;1;0;2
hier;1;1;1;1;0
elles_mêmes;1;0;0;2;0
diverses;2;1;0;0;1
celui_là;1;2;2;0;0
celle_ci;1;1;0;1;1
nulle;0;3;1;0;0
nous_mêmes;0;0;1;1;1
mince;1;1;0;0;1
lors;1;0;0;1;1
lesquelles;0;0;0;2;1
excepté;0;0;4;0;0
debout;0;1;1;0;2
ceux_ci;1;0;0;1;1
certaine;1;0;0;1;2
quelques_unes;0;1;1;0;1
quatre_vingts;1;1;1;0;0
