"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"amant";-1,623;-1,955;3,502;-1,818;3,415
"affliger";-0,21;-2,201;0;-2,046;9,965
"aborder";-1,827;-2,201;31,218;-2,046;-2,65
"abattre";1,924;5,193;-1,45;-1,135;-1,47
"événement";0,693;0,359;0,152;-0,081;-2,059
"étrange";-1,623;-0,256;12,738;-0,19;-2,354
"étouffer";0,693;-0,125;-2,031;-1,59;4,754
"énorme";-1,216;-1,465;0,41;3,972;-0,124
"éloquent";-0,21;-0,412;-2,613;-0,325;9,965
"église";-0,032;2,412;-0,268;-0,081;-0,282
"égarer";-1,42;11,975;-2,031;-0,081;-0,282
"vulgaire";0,384;-1,955;-2,322;1,931;1,005
"vraiment";-1,827;3,542;0;0,085;-0,69
"visite";0,384;0,149;1,046;-0,19;-2,354
"violent";-0,607;-0,732;0,205;0,441;0,194
"vanité";1,172;0,721;-0,115;-1,362;-0,124
"vainqueur";-0,107;0,149;-2,322;1,931;0,025
"tribunal";-1,42;28,813;-2,031;-1,59;-2,059
"tranquille";0,384;-1,955;-2,322;-1,818;12,527
"tonnerre";0;-1,465;-1,74;-1,362;12,616
"tempête";-0,032;-1,71;1,681;-1,59;1,629
"sérieux";-0,107;9,381;-2,322;0,228;-2,354
"surinam";-1,623;-1,955;19,518;-1,818;-0,474
"suffisant";-0,21;1,083;2,513;-0,325;-2,65
"style";-1,42;11,975;-2,031;-1,59;0,139
"souriant";0,384;-0,256;-0,456;-0,19;1,005
"solitude";-1,42;2,412;-2,031;-1,59;4,754
"sceptre";4,926;-2,201;-2,613;-2,046;5,566
"saluer";-0,032;-1,71;0,152;-1,59;4,754
"résister";1,924;1,325;-0,017;-1,135;-1,47
"réconnaissance";0,188;-0,412;-2,613;-2,046;9,965
"récompenser";-1,827;0,04;-2,613;-0,325;9,965
"rivage";-0,032;-1,71;16,147;-1,59;-2,059
"ressort";16,041;0,04;-2,613;-2,046;-0,69
"rempli";1,172;-0,033;-0,115;-0,013;-0,124
"redouter";10,681;-0,033;-1,74;-1,362;-0,124
"redoubler";-1,013;-1,221;4,061;0,008;-0,021
"rapport";-1,623;15,642;-0,456;-1,818;-0,474
"ramener";-0,107;-0,256;7,4;-1,818;-0,474
"quart";-0,81;-0,976;6,359;-0,907;0,012
"publier";1,76;3,542;-2,613;-0,325;-0,69
"prêter";-1,623;0,149;-2,322;5,3;0,025
"promettre";0;-1,465;2,625;-1,362;0,389
"production";-1,827;7,417;-2,613;4,049;-2,65
