"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"prendre";0,972634276760016;-0,0089625632633747;0,374581296793594;-0,208211047125926;0,915074238153551;-0,00843216298880159;0,352413751992972;-0,195889215377632;0,904264073572386;4,98592451734714e-05;0,076103276378442;0,0195827908040024;0,00323448803858407;2,74644481306653e-07;0,000479731886706426;0,000148222435460282;0,0034190575293593;0,613651489253695;0,00128750816947456
"peuple";-0,75485499949232;0,0823568110501125;-0,085161226398993;-0,365791797175237;-0,891063733736096;0,0972175684101806;-0,100528022488647;-0,431796576534855;0,888159873393596;0,00686512130775994;0,00641450180500378;0,0985605034936431;0,00199055190293979;2,36943870475818e-05;2,5335544867228e-05;0,000467427607209189;0,00349338486695407;0,480549159573187;0,000806718615580894
"cunégonde";3,13645419817036;0,45339350980434;-0,189753237820154;-0,0219816048231477;0,987919613299831;0,142809782186473;-0,0597684306817017;-0,00692376077076521;0,984572320220053;0,0133599679331633;0,00204485799393911;2,28538528469174e-05;0,0332688564474158;0,00069520129332078;0,000121769455364728;1,6341005093167e-06;0,00338189386056191;1,8964220626102;0,0121626993533329
"répondre";0,624049291410591;-0,0564336987048178;-0,0278167070614734;0,246702251753682;0,925907448778351;-0,0837311775080996;-0,041271894100682;0,366034311188466;0,925675052245689;0,00491567199408399;0,00104363165982382;0,068365644100405;0,00127361757074793;1,04154558776773e-05;2,53053697314764e-06;0,000199043261847393;0,00327040285416976;0,389143226178129;0,000495245118264769
"main";-0,521797352301749;0,509568152498132;-0,0683158892464191;-0,179431782889309;-0,691869179092802;0,675654059579898;-0,0905824033092863;-0,237914814598357;0,593511947659256;0,367549108379189;0,0057727694923103;0,0331661744692462;0,000920796617923646;0,000878141552165629;1,57835040077724e-05;0,000108882659011672;0,00338189386056191;0,406356301077033;0,000558436723341598
"âme";-0,836942594693762;1,16160863646773;-0,0999065766452426;0,279067345710548;-0,572434236009615;0,794492425853744;-0,0683319802777888;0,190870561314304;0,432619496177337;0,541152295602141;0,00349798499274529;0,022730223227779;0,00270734288347419;0,00521520740779347;3,85780326269162e-05;0,000301002403670313;0,0038650215549279;0,76341816202357;0,0022525627386344
"parler";0,385968205933286;0,312849206974126;-0,00752619153760332;1,03369162781101;0,336526391022707;0,272773800895705;-0,00656210029054328;0,901277637872991;0,207621477103143;0,0885777055204685;4,47955412591351e-05;0,703756021835132;0,000492733000714694;0,000323726837412153;1,87352339690857e-07;0,00353419562751546;0,00330756652296715;0,508200693422875;0,000854238408161092
"nature";-0,840442408940226;0,292803690015348;-0,643039686021404;0,400475908005535;-0,719099880936206;0,250528883821109;-0,550198034673587;0,342655457055929;0,658631218024441;0,0519116197994591;0,218784720558386;0,0706724416177175;0,00241502886623171;0,00029312948125344;0,00141378041762534;0,000548351704554143;0,0034190575293593;0,62130759615806;0,00131983528586372
"vérité";-0,785001840486973;-0,149540291322273;-0,558589184710702;1,61583126380287;-0,415961192169186;-0,079239250976982;-0,295988380181299;0,856205761783607;0,301828022508578;0,00711245855147865;0,0867198054554809;0,604339713484465;0,00192370829209553;6,9809465334288e-05;0,000974053727187618;0,00815060563917617;0,00312174817898023;0,857256439509785;0,00229413715842142
"rendre";-0,441801102348399;0,896006806112656;-0,237303334058713;-0,258816716175074;-0,417217874757037;0,846150119198584;-0,224099016916123;-0,244415325584692;0,250202170064985;0,668259581497485;0,0409600240406977;0,0405782243968347;0,000616582361865696;0,00253606350197032;0,000177887399665803;0,000211603161460909;0,00315891184777761;0,529908784957939;0,000887032935629773
"martin";2,99871841788535;0,465844038592809;-0,164034588801865;0,0524326870125984;0,986560422036935;0,153259902155669;-0,0539663985093815;0,0172500403903069;0,982788117760535;0,0154012050378389;0,00166868527095585;0,000141991930672734;0,0300768579410895;0,000725842134172784;8,99978136281301e-05;9,19528764911919e-06;0,00334473019176453;1,8147867461726;0,0110157047743249
"terre";0,252594347466507;0,801620251992903;0,450398888935622;0,0957904765413824;0,2635722435058;0,836459130525355;0,469973484442371;0,0999535859045681;0,106246988679249;0,694851230560699;0,191680986775783;0,00722079398427262;0,000180210224924719;0,00181497034929361;0,000572963285853191;2,59165292886097e-05;0,00282443882860116;0,464927433725002;0,000610523688712979
"passer";0,740753076323882;-0,334993565239864;0,0334427174937412;-0,0485843877817524;0,908769741539604;-0,41097637719071;0,041028151896437;-0,0596042364702625;0,880286760260508;0,116905587216696;0,00101811164267987;0,00178954088011734;0,00159059682497759;0,000325301535701836;3,24202458609196e-06;6,8423715407299e-06;0,00289876616619593;0,47367584559483;0,000650392705611648
"mort";-0,492828246476436;0,437016596756271;-0,0655285420984654;-0,109924283734183;-0,734468713557721;0,651291844405876;-0,0976580874989966;-0,16382167183037;0,647604113253408;0,33067348482811;0,0064967247632848;0,0152256771551984;0,000433262400223051;0,000340687092327219;7,65985996054768e-06;2,15549543412634e-05;0,00178385610227442;0,367418189285671;0,000240813662823775
"état";-0,401087032561244;0,783531139435175;-1,25985336170727;-1,44554911823825;-0,190098577247017;0,371361182844068;-0,597118111924631;-0,685130179759204;0,0657239793416917;0,162871173565694;0,367960878919302;0,403443968173314;0,000490241052121313;0,00187087579196134;0,00483695928446627;0,00636792793093611;0,00304742084138546;0,938634593674097;0,00268488411759411
"vie";-0,27477805863772;0,797949510443319;0,780510944579299;0,504632915478113;-0,218873499264042;0,635603885014069;0,621713256512916;0,401963579632585;0,0790617354856892;0,432950417000563;0,361972249913066;0,126015597600682;0,000159940164486276;0,00134878976547323;0,00129048045461052;0,000539441787753999;0,00211832912145087;0,586298441154663;0,000728166870065486
"femme";-0,452869452633699;0,723317712551126;0,506055307288498;0,385341011072584;-0,425485840788812;0,67958093285481;0,475455711695899;0,362040634741697;0,269744478996791;0,446837698043627;0,191125009017645;0,0922928139419364;0,000396340067589371;0,00101106744057864;0,000494900499844379;0,000286954070549686;0,00193251077746395;0,523138406658656;0,000528877553556956
"petit";0,20305018577241;-0,882119505198447;0,908296565004272;-0,417004668620623;0,150582821197533;-0,654183315424492;0,673596326553848;-0,30925231225259;0,0375895728927943;0,460681269075395;0,426806469105347;0,0749226889264681;0,000105724211313085;0,00199536579010544;0,00211554864166421;0,000445912355505659;0,00256429314701947;0,628332546426063;0,00101238752170284
"pangloss";3,0556467994046;0,462848046105887;-0,293702306348979;-0,00185273500768373;0,984286729614526;0,149092882625965;-0,0946075582599433;-0,000596804081515802;0,980256225442594;0,0146047883638311;0,00513881588723139;1,70306345933367e-07;0,0235957507308008;0,000541382686833453;0,000217992829021862;8,6746929014191e-09;0,00252712947822209;1,85162573696259;0,00866430857533793
"docteur";1,34554271783684;-0,520801442480694;-0,575047422513489;1,02133976607962;0,723835563795999;-0,280165468361959;-0,309347127940801;0,549430378989395;0,678793142851377;0,0660346557900476;0,0703501178937662;0,184822083464808;0,00100926408810972;0,000151200837570595;0,000184338972502271;0,000581500808927963;0,000557455031960755;0,979825250590989;0,000535188896441036
"ville";-0,0489667925249411;-0,668072044861753;0,757647390506354;-0,518759903800974;-0,0430818189048103;-0,587781175118636;0,666591091398754;-0,456413807770784;0,00321793711816755;0,38896088764676;0,437143014928755;0,17067816030632;7,03961627933216e-06;0,00131036495885742;0,00168531053586093;0,000790093473522226;0,00293592983499331;0,517884294883828;0,000787428544971691
