"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"classe 1";-0,678826324180537;0,692233823325945;-1,3098960525865;-1,46742400149383;-0,309545394048157;0,315659225315935;-0,597313738899993;-0,669146620568188;0,166765031748501;0,112610364997898;0,352351680685355;0,368272922568244;0,0793239774918584;0,0824883777923555;0,295366201905398;0,370679328940905;0,172142113869481;0,997300508641187;0,171213976014963
"classe 2";-0,445023101373295;-1,09945133516479;-1,05270409743853;1,30838049166471;-0,216457371114304;-0,534768520877876;-0,512030860397204;0,63639078683563;0,0818102686393107;0,324249880083391;0,259758862891097;0,334180988386198;0,0378897928783784;0,231264590131588;0,212016541530416;0,327510508490685;0,191318566968931;0,933466006146243;0,166707113991319
"classe 3";1,90583679095975;0,236720330362711;-0,100960075166535;0,00162246220436726;0,991005507131612;0,12309089222762;-0,0524976697716454;0,000843655126854356;0,988522467563821;0,00990310408206589;0,00157408979444837;3,38559668834931e-07;0,773067075037676;0,0119266062249095;0,00216942726793149;5,60266868721038e-07;0,212836331202616;1,15003827479982;0,28149478474359
"classe 4";-0,287289206356305;-1,35776030089546;1,28257374211232;-0,971025694560626;-0,135220235094474;-0,63906566284751;0,60367712777672;-0,457038829848753;0,0310439840717376;0,450267022896077;0,351090083259898;0,167598909772293;0,0149684565881343;0,334337134282595;0,298334234105297;0,171001471292742;0,181358703731232;0,978251323005635;0,17355586356087
"classe 5";-0,625280404130303;1,18443817515185;0,890353887159164;0,73468467293988;-0,353635012647955;0,669873557980968;0,503550576776228;0,415509940646102;0,194819817488272;0,453934701161492;0,224142315781425;0,127103165568813;0,0947506980039535;0,339983291568553;0,192113595190957;0,130808131008799;0,242344284227739;0,849920124506644;0,175060839372971
